molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL376085,26,C,-0.07644710059670332,-0.0003454884420545827,-0.03484539960670274,-1.1534226498253695,4.134576803717731,-3.7886525657322285,0.0,0.9049578190231176,-0.024370965224562363,0.23519652966230545
CHEMBL376085,27,C,-0.1099442497389473,-0.0003850819226476852,-0.0401435645727477,-1.0722077817673257,3.828797154498073,-3.5061456121398313,0.0,0.8197005173440682,-0.024370965224562363,0.1690464928251574
CHEMBL227748,1,O,0.004856783939979524,-3.408407556825097e-05,-0.009416940544402952,-0.39545719395935963,1.19351806419641,-1.1474894749360618,0.25926523200742935,0.4232845420575273,-0.6316141820699078,-0.03911782261877106
CHEMBL227748,2,C,-0.28344183261847433,-0.0007173477972043211,-0.06585987667920767,-1.5139008849108744,5.4435581775855635,-4.934192129008515,0.1129770333505295,1.2070184545003066,0.0,0.22941102518730716
CHEMBL227748,3,C,-0.1099442497389473,-0.0003850819226476853,-0.0401435645727477,-1.0722077817674427,3.8287971544980723,-3.506145612139829,0.0,0.8197005173440682,-0.024370965224562363,0.15926984724114626
CHEMBL227748,4,C,-0.0764471005967033,-0.0003454884420545827,-0.03484539960670274,-1.1534226498538254,4.13457680371773,-3.7886525657322294,0.0,0.9049578190231176,-0.024370965224562363,0.22541988404995308
CHEMBL227748,5,C,-0.08899013972995246,-0.0005429977427916171,-0.06070497725496515,-1.8936042531949928,6.918791861306204,-6.266560716228593,0.0,1.4860049569800327,0.0,0.35836316490012443
CHEMBL227748,6,C,0.022515259405451824,-0.00010935792361671584,-0.023909826024933856,-0.8885642861183538,3.2068861544851877,-2.9535523025380632,0.0,0.6821818960353395,0.0,0.3094169680861941
CHEMBL227748,7,C,0.11443646531404646,-8.363542322839646e-05,-0.018546877092825945,-0.6572610171942292,2.36472600170549,-2.1858153896895716,0.040363801970539084,0.5832655623211802,0.0,0.5050543426765836
CHEMBL227748,8,N,0.16074332949098175,-0.00023606864251508376,-0.031312428547738164,-0.9799535281620158,3.7835028156228825,-3.485452806862262,0.16297433993311955,1.102717664288614,-0.7544844650770763,0.2224682828091734
CHEMBL227748,9,C,-0.1399491590379215,-0.0008458968166611721,-0.09483137739314024,-1.9569342273056138,7.912459873137281,-7.070837185439143,0.040363801970539084,1.6369033615653639,0.07717472321111414,0.6674733446570009
CHEMBL227748,10,N,0.058300053733205154,-0.00015764507065242254,-0.028996230857848082,-1.16540683881099,4.209604794680848,-4.062810369419385,0.0,1.1745369164992878,-0.4559401410761875,-0.006900029556538789
