       mol;    enlace;       Std;       Dip;      Dip2;       Hyd;      Pols;       Mol;       Pol;       Van;       Gas;       Ato;        r2;      pi2h;       b2h;       b2o;       l16
       4.0;       6.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667; -0.020401; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
       4.0;       7.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.016766; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       4.0;       8.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333; -0.003397;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
       4.0;       9.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.046313; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       4.0;      10.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667; -0.451851; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       4.0;      11.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333; -0.005795;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
       4.0;      12.0;      1.45;       0.0;       0.0; -0.061983;       0.0;  2.237167;  0.884167;  1.416667;  0.010342; 10.009167;  0.029667;     0.012;  0.003667;  0.006667;  0.399167
       4.0;      13.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.042261; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       4.0;      14.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.042261; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       4.0;      15.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.060172;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       4.0;      16.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.06211;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       4.0;      17.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.06211;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       4.0;      18.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.060172;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       4.0;      19.0;       0.0;       0.4;      0.45;  -0.45655;     6.015;     2.463;    1.0125;      1.65; -0.154667;    13.009;     0.069;    0.1325;    0.2705;    0.2715;    0.5335
       4.0;      20.0;       0.0;       0.4;      0.45;  -0.45655;     6.015;     2.463;    1.0125;      1.65; -0.158121;    13.009;     0.069;    0.1325;    0.2705;    0.2715;    0.5335
       4.0;      21.0;      1.38;       0.0;       0.0;  -0.12755;       0.0;    2.6205;     1.061;       1.7; -0.007818;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
       5.0;       1.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667; -0.451858; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       5.0;       2.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.046038; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       5.0;       3.0;       1.4;       0.0;       0.0;  0.362467;       0.0;  2.568667;     1.264;  1.133333;  0.104798;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       5.0;       4.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.018721; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       5.0;       5.0;       1.4;       0.0;       0.0;  0.090667;       0.0;  2.339333;     1.264;  1.133333; -0.022383;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       5.0;       6.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667; -0.009389; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
       5.0;       7.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.016074; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       5.0;       8.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333;  0.005212;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
       5.0;       9.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.046347; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       5.0;      10.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667;  -0.45185; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       5.0;      11.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333;  0.018169;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
       5.0;      12.0;      1.52;       0.0;       0.0; -0.011508;       0.0;  1.543417;  0.618917;  0.991667;  0.043625;  7.006417;  0.076417;   0.02975;  0.012917;  0.018417;  0.260417
       5.0;      13.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.022382; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       5.0;      14.0;       1.4;       0.0;       0.0;  0.226567;       0.0;     2.454;     1.264;  1.133333;  0.059083;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       5.0;      15.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.033196;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       5.0;      16.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.045765; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       5.0;      17.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667; -0.450521; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       5.0;      18.0;       1.4;       0.0;       0.0;  0.362467;       0.0;  2.568667;     1.264;  1.133333;  0.120417;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       5.0;      19.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667;  -0.43492; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       5.0;      20.0;       1.4;       0.0;       0.0;  0.362467;       0.0;  2.568667;     1.264;  1.133333;  0.122922;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       5.0;      21.0;      1.36;      0.86;       0.7; -0.028517;     4.615;  1.875333;    0.9505;  1.341667; -0.186947; 12.003167;     0.067;  0.126167;    0.1055;     0.113;     0.388
       5.0;      22.0;      1.33;      0.86;       0.7;   -0.3115;     4.615;    1.9675;     0.849;     1.625; -0.183899;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
       5.0;      23.0;      1.46;       0.0;       0.0; -0.153025;       0.0;   2.05925;   0.79575;     1.275;  0.087588;   9.00825;   0.04675;   0.01775;   0.00925;   0.01175;   0.36025
       5.0;      24.0;       0.0;      0.86;       0.7; -0.340575;     20.23;   1.50655;   0.90225;     1.975; -0.356584;  19.00175;   0.10775;   0.26475;   0.31625;   0.32275;   0.78275
       5.0;      25.0;      1.46;       0.0;       0.0; -0.077075;       0.0;   1.92675;   0.79575;     1.275;   0.03137;   9.00825;   0.04675;   0.01775;   0.00925;   0.01175;   0.36025
       6.0;       1.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667; -0.466054; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       6.0;       2.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.054594; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;       3.0;       1.4;       0.0;       0.0;  0.226567;       0.0;     2.454;     1.264;  1.133333;  0.047884;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       6.0;       4.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.069531; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;       5.0;       1.4;       0.0;       0.0;  0.362467;       0.0;  2.568667;     1.264;  1.133333;  0.111641;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       6.0;       6.0;      1.36;      0.86;       0.7; -0.028517;     4.615;  1.875333;    0.9505;  1.341667; -0.170391; 12.003167;     0.067;  0.126167;    0.1055;     0.113;     0.388
       6.0;       7.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.051784; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;       8.0;      1.36;      0.86;       0.7; -0.028517;     4.615;  1.875333;    0.9505;  1.341667; -0.171482; 12.003167;     0.067;  0.126167;    0.1055;     0.113;     0.388
       6.0;       9.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667;  0.002965; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;      10.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333;  0.027855;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
